,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,0.0005099773406982422,0.0003017584482828776,0.98,0.989998019409784,1,4,linear,"{'C': 1, 'gamma': 4, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,5.016355611141243e-05,1.0555838803147842e-05,0.016179144164088305,0.008248629202994184
11,0.0012970765431722004,0.0004164377848307292,0.9733333333333334,0.989998019409784,1,4,rbf,"{'C': 1, 'gamma': 4, 'kernel': 'rbf'}",24,1.0,0.9797979797979798,0.9411764705882353,1.0,0.9791666666666666,0.9901960784313726,8.563096450738363e-05,1.1424759147363815e-05,0.02458146387042627,0.008248629202994184
12,0.0005120436350504557,0.0003046989440917969,0.9866666666666667,0.9866310160427808,2,0.125,linear,"{'C': 2, 'gamma': 0.125, 'kernel': 'linear'}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,2.091691848806153e-05,2.0832199960541428e-05,0.018576814560512946,0.012625388806224458
13,0.0007863044738769531,0.00044536590576171875,0.9733333333333334,0.9833630421865717,2,0.125,rbf,"{'C': 2, 'gamma': 0.125, 'kernel': 'rbf'}",24,0.9803921568627451,0.9696969696969697,0.9607843137254902,1.0,0.9791666666666666,0.9803921568627451,0.0001706365396151907,0.00010368494796965071,0.009020673423841885,0.012548254356472291
14,0.0005290508270263672,0.0002976258595784505,0.9866666666666667,0.9866310160427808,2,0.25,linear,"{'C': 2, 'gamma': 0.25, 'kernel': 'linear'}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,4.136453557484836e-05,6.160043835664145e-06,0.018576814560512946,0.012625388806224458
15,0.0006512800852457682,0.0010725657145182292,0.9866666666666667,0.9767280649633591,2,0.25,rbf,"{'C': 2, 'gamma': 0.25, 'kernel': 'rbf'}",1,1.0,0.9595959595959596,0.9803921568627451,1.0,0.9791666666666666,0.9705882352941176,0.00010495786545208382,0.0010214358051680457,0.00958280049669602,0.0170566653934917
16,0.0005218982696533203,0.0003132820129394531,0.9866666666666667,0.9866310160427808,2,0.5,linear,"{'C': 2, 'gamma': 0.5, 'kernel': 'linear'}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,2.2369033694493958e-05,1.5382464201526908e-05,0.018576814560512946,0.012625388806224458
17,0.0008517106374104818,0.00039577484130859375,0.9866666666666667,0.9866310160427808,2,0.5,rbf,"{'C': 2, 'gamma': 0.5, 'kernel': 'rbf'}",1,0.9803921568627451,0.9696969696969697,0.9803921568627451,1.0,1.0,0.9901960784313726,0.00011728487131791833,9.143862799173609e-05,0.009146591207600491,0.012625388806224458
18,0.0005776087443033854,0.0007347265879313151,0.9866666666666667,0.9866310160427808,2,1,linear,"{'C': 2, 'gamma': 1, 'kernel': 'linear'}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,0.00019064646235269418,0.0006118956462337787,0.018576814560512946,0.012625388806224458
19,0.0006736914316813151,0.00035198529561360675,0.98,0.9832640126757773,2,1,rbf,"{'C': 2, 'gamma': 1, 'kernel': 'rbf'}",10,0.9803921568627451,0.9595959595959596,0.9607843137254902,1.0,1.0,0.9901960784313726,1.2395218644515114e-05,2.5474987678081733e-05,0.015924659219017204,0.017207784516951524
